[addition] 22468 + 38614 | 61082
[reversing] 1 2 7 1 | 1 7 2 1
[addition] 428 + 632 | 1060
[addition] 949 + 461 | 1410
[relations] E917 is parent of E246. Who is the ancestor 1 of E246? | E917
[addition] 37 + 0 | 37
[addition] 1 + 813 | 814
[copying] LF | LFLFLF
[addition] 910 + 6 | 916
[relations] E382 is parent of E950. E950 is parent of E218. Who is the ancestor 2 of E218? | E382
[reversing] 4 0 2 2 6 | 6 2 2 0 4
[reversing] 6 4 9 0 0 9 8 8 0 0 | 0 0 8 8 9 0 0 9 4 6
[copying] CENZR | CENZRCENZRCENZR
[copying] JTV | JTVJTVJTV
[copying] OYXQZQ | OYXQZQOYXQZQOYXQZQ
[sorting] 3 3 7 3 6 | 3 3 3 6 7
[reversing] 3 2 9 6 9 | 9 6 9 2 3
[reversing] 4 2 9 | 9 2 4
[copying] IQGMCS | IQGMCSIQGMCS
[copying] YNLPV | YNLPVYNLPVYNLPVYNLPV
[relations] E973 is parent of E434. E434 is parent of E756. Who is the ancestor 2 of E756? | E973
[copying] WIZH | WIZHWIZHWIZHWIZH
[relations] E865 is parent of E238. Who is the ancestor 1 of E238? | E865
[copying] BAWZ | BAWZBAWZBAWZ
[sorting] 5 8 7 9 4 2 | 2 4 5 7 8 9
[copying] BGGOB | BGGOBBGGOBBGGOB
[relations] E942 is parent of E875. Who is the ancestor 1 of E875? | E942
[relations] E812 is parent of E384. Who is the ancestor 1 of E384? | E812
[copying] PEKWO | PEKWOPEKWOPEKWO
[sorting] 1 0 4 0 | 0 0 1 4
[relations] E101 is parent of E789. E789 is parent of E641. Who is the ancestor 2 of E641? | E101
[reversing] 9 9 2 2 8 9 1 4 6 1 0 | 0 1 6 4 1 9 8 2 2 9 9
[reversing] 6 2 6 1 6 4 8 3 5 1 6 | 6 1 5 3 8 4 6 1 6 2 6
[reversing] 8 0 4 | 4 0 8
[reversing] 1 5 6 | 6 5 1
[copying] KQNCMO | KQNCMOKQNCMOKQNCMO
[addition] 22 + 5 | 27
[addition] 87 + 8 | 95
[reversing] 7 3 8 | 8 3 7
[addition] 333 + 56 | 389
[sorting] 6 2 0 1 0 9 1 5 | 0 0 1 1 2 5 6 9
[addition] 26048 + 43 | 26091
[addition] 78 + 3 | 81
[addition] 683 + 3 | 686
[copying] ZRCT | ZRCTZRCTZRCT
[copying] PN | PNPN
[sorting] 3 6 4 3 0 0 4 2 6 1 8 | 0 0 1 2 3 3 4 4 6 6 8
[relations] E73 is parent of E381. Who is the ancestor 1 of E381? | E73
[addition] 494 + 46 | 540
[relations] E582 is parent of E421. E421 is parent of E496. Who is the ancestor 2 of E496? | E582
[reversing] 7 8 3 8 8 6 0 7 3 3 9 5 | 5 9 3 3 7 0 6 8 8 3 8 7
[reversing] 7 5 0 2 3 6 4 7 | 7 4 6 3 2 0 5 7
[sorting] 8 3 9 1 4 3 | 1 3 3 4 8 9
[reversing] 1 9 0 1 3 7 2 9 1 6 | 6 1 9 2 7 3 1 0 9 1
[sorting] 5 2 1 0 2 4 | 0 1 2 2 4 5
[addition] 863 + 184 | 1047
[copying] DCWVP | DCWVPDCWVP
[relations] E643 is parent of E35. Who is the ancestor 1 of E35? | E643
[copying] RUVVSO | RUVVSORUVVSORUVVSORUVVSO
[relations] E639 is parent of E75. E75 is parent of E717. Who is the ancestor 2 of E717? | E639
[reversing] 0 8 6 4 7 0 1 1 7 9 | 9 7 1 1 0 7 4 6 8 0
[addition] 78996 + 24 | 79020
[relations] E685 is parent of E603. E603 is parent of E902. Who is the ancestor 2 of E902? | E685
[addition] 68 + 4 | 72
[relations] E485 is parent of E754. E754 is parent of E179. Who is the ancestor 2 of E179? | E485
[addition] 6 + 827 | 833
[sorting] 8 3 2 8 4 2 6 2 4 9 2 | 2 2 2 2 3 4 4 6 8 8 9
[relations] E407 is parent of E564. E564 is parent of E168. Who is the ancestor 2 of E168? | E407
[relations] E917 is parent of E319. Who is the ancestor 1 of E319? | E917
[relations] E152 is parent of E580. E580 is parent of E836. Who is the ancestor 2 of E836? | E152
[sorting] 8 0 8 9 4 3 0 1 3 5 | 0 0 1 3 3 4 5 8 8 9
[copying] JZCS | JZCSJZCSJZCS
[reversing] 4 1 8 2 5 2 5 | 5 2 5 2 8 1 4
[sorting] 7 9 6 3 2 3 5 4 3 | 2 3 3 3 4 5 6 7 9
[reversing] 7 0 4 9 9 2 4 1 2 0 7 | 7 0 2 1 4 2 9 9 4 0 7
[reversing] 7 3 4 1 2 1 6 8 8 6 2 8 | 8 2 6 8 8 6 1 2 1 4 3 7
[relations] E248 is parent of E180. E180 is parent of E514. Who is the ancestor 2 of E514? | E248
[addition] 788 + 14 | 802
[sorting] 3 6 8 5 | 3 5 6 8
[sorting] 6 1 4 1 1 | 1 1 1 4 6
[addition] 235 + 6 | 241
[relations] E155 is parent of E66. E66 is parent of E352. Who is the ancestor 2 of E352? | E155
[reversing] 7 0 2 9 3 | 3 9 2 0 7
[copying] EPNJ | EPNJEPNJEPNJ
[relations] E996 is parent of E139. Who is the ancestor 1 of E139? | E996
[copying] CLF | CLFCLFCLF
[addition] 61 + 6 | 67
[reversing] 5 4 5 4 | 4 5 4 5
[relations] E552 is parent of E621. Who is the ancestor 1 of E621? | E552
[addition] 37 + 5 | 42
[sorting] 3 6 3 2 5 9 0 1 9 8 | 0 1 2 3 3 5 6 8 9 9
[reversing] 3 5 6 5 1 9 7 8 3 6 | 6 3 8 7 9 1 5 6 5 3
[addition] 6 + 0 | 6
[copying] EPI | EPIEPIEPIEPI
[relations] E158 is parent of E535. E535 is parent of E874. Who is the ancestor 2 of E874? | E158
[copying] CSWWGA | CSWWGACSWWGA
[relations] E614 is parent of E791. Who is the ancestor 1 of E791? | E614
[copying] WRS | WRSWRSWRS
[reversing] 2 6 8 1 8 | 8 1 8 6 2
[sorting] 1 8 3 7 3 8 | 1 3 3 7 8 8
[reversing] 6 3 1 9 2 | 2 9 1 3 6
[reversing] 6 0 0 6 | 6 0 0 6
[relations] E565 is parent of E643. E643 is parent of E753. Who is the ancestor 2 of E753? | E565
[copying] OS | OSOSOS
[relations] E621 is parent of E157. E157 is parent of E413. Who is the ancestor 2 of E413? | E621
[copying] QPX | QPXQPX
[sorting] 8 9 5 7 5 0 6 2 6 5 7 5 | 0 2 5 5 5 5 6 6 7 7 8 9
[reversing] 8 8 8 0 1 1 0 2 2 1 3 | 3 1 2 2 0 1 1 0 8 8 8
[relations] E139 is parent of E403. Who is the ancestor 1 of E403? | E139
[addition] 59 + 99 | 158
[reversing] 9 7 2 4 4 0 | 0 4 4 2 7 9
[sorting] 4 8 1 2 | 1 2 4 8
[relations] E161 is parent of E40. Who is the ancestor 1 of E40? | E161
[relations] E434 is parent of E684. E684 is parent of E134. Who is the ancestor 2 of E134? | E434
[sorting] 1 7 0 9 2 3 | 0 1 2 3 7 9
[sorting] 8 0 6 2 2 | 0 2 2 6 8
[addition] 8 + 236 | 244
[copying] HZ | HZHZ
[reversing] 2 8 9 | 9 8 2
[sorting] 0 2 1 7 5 7 4 9 6 1 6 | 0 1 1 2 4 5 6 6 7 7 9
[reversing] 9 0 1 0 7 9 8 3 8 4 9 | 9 4 8 3 8 9 7 0 1 0 9
[copying] SNYFBF | SNYFBFSNYFBFSNYFBF
[copying] JFLBG | JFLBGJFLBGJFLBG
[reversing] 5 0 7 8 9 5 9 | 9 5 9 8 7 0 5
[copying] NMSAO | NMSAONMSAONMSAO
[relations] E646 is parent of E819. E819 is parent of E234. Who is the ancestor 2 of E234? | E646
[sorting] 0 3 3 5 9 7 4 | 0 3 3 4 5 7 9
[relations] E569 is parent of E241. Who is the ancestor 1 of E241? | E569
[copying] AQ | AQAQ
[copying] RIM | RIMRIMRIM
[sorting] 9 4 8 3 | 3 4 8 9
[sorting] 6 1 8 0 5 7 | 0 1 5 6 7 8
[copying] DQOB | DQOBDQOB
[sorting] 5 4 3 6 6 8 1 2 5 | 1 2 3 4 5 5 6 6 8
[copying] EG | EGEGEGEG
[copying] KFXT | KFXTKFXT
[relations] E260 is parent of E446. E446 is parent of E61. Who is the ancestor 2 of E61? | E260
[relations] E532 is parent of E248. E248 is parent of E210. Who is the ancestor 2 of E210? | E532
[copying] OTRP | OTRPOTRP
[relations] E437 is parent of E23. Who is the ancestor 1 of E23? | E437
[addition] 65 + 775 | 840
[relations] E352 is parent of E646. Who is the ancestor 1 of E646? | E352
[sorting] 0 0 5 1 3 9 7 | 0 0 1 3 5 7 9
[relations] E571 is parent of E865. E865 is parent of E495. Who is the ancestor 2 of E495? | E571
[relations] E42 is parent of E484. E484 is parent of E839. Who is the ancestor 2 of E839? | E42
[relations] E237 is parent of E49. E49 is parent of E712. Who is the ancestor 2 of E712? | E237
[sorting] 1 2 9 8 | 1 2 8 9
[sorting] 9 1 1 8 6 7 4 6 6 5 4 6 | 1 1 4 4 5 6 6 6 6 7 8 9
[copying] JVX | JVXJVXJVX
[copying] ZM | ZMZMZM
[sorting] 3 5 1 1 | 1 1 3 5
[copying] PK | PKPKPK
[addition] 945 + 688 | 1633
[copying] EBWK | EBWKEBWK
[relations] E220 is parent of E826. E826 is parent of E809. Who is the ancestor 2 of E809? | E220
[copying] UIMH | UIMHUIMHUIMHUIMH
[copying] SCHFU | SCHFUSCHFUSCHFUSCHFU
[copying] BVJ | BVJBVJBVJBVJ
[relations] E490 is parent of E497. Who is the ancestor 1 of E497? | E490
[sorting] 5 7 3 3 6 4 5 | 3 3 4 5 5 6 7
[relations] E198 is parent of E293. Who is the ancestor 1 of E293? | E198
[sorting] 3 8 0 4 9 2 8 6 6 4 | 0 2 3 4 4 6 6 8 8 9
[reversing] 7 9 7 1 7 2 4 0 3 | 3 0 4 2 7 1 7 9 7
[addition] 87 + 6 | 93
[relations] E665 is parent of E803. Who is the ancestor 1 of E803? | E665
[addition] 643 + 9 | 652
[addition] 96 + 0 | 96
[addition] 18 + 8 | 26
[relations] E185 is parent of E907. Who is the ancestor 1 of E907? | E185
[copying] FHRL | FHRLFHRLFHRLFHRL
[relations] E142 is parent of E3. E3 is parent of E349. Who is the ancestor 2 of E349? | E142
[reversing] 6 2 1 0 5 0 3 7 8 4 4 | 4 4 8 7 3 0 5 0 1 2 6
[addition] 676 + 48 | 724
[reversing] 4 8 6 2 4 8 4 4 5 0 5 4 | 4 5 0 5 4 4 8 4 2 6 8 4
[relations] E863 is parent of E724. Who is the ancestor 1 of E724? | E863
[relations] E100 is parent of E722. E722 is parent of E572. Who is the ancestor 2 of E572? | E100
[copying] CE | CECE
[reversing] 4 2 2 2 2 | 2 2 2 2 4
[sorting] 6 0 7 9 2 9 5 5 9 3 7 | 0 2 3 5 5 6 7 7 9 9 9
[sorting] 4 5 0 9 4 6 4 7 3 8 4 | 0 3 4 4 4 4 5 6 7 8 9
[addition] 267 + 429 | 696
