[addition] 7 + 59 | 66
[copying] AXCOCF | AXCOCFAXCOCF
[relations] E802 is parent of E302. E302 is parent of E839. Who is the ancestor 2 of E839? | E802
[reversing] 9 8 9 5 7 0 5 | 5 0 7 5 9 8 9
[copying] BO | BOBO
[reversing] 7 8 3 7 | 7 3 8 7
[sorting] 1 2 6 2 0 3 3 2 5 | 0 1 2 2 2 3 3 5 6
[copying] CST | CSTCSTCSTCST
[sorting] 8 9 1 8 4 0 6 3 | 0 1 3 4 6 8 8 9
[copying] MRQUC | MRQUCMRQUCMRQUCMRQUC
[reversing] 9 9 3 8 8 1 9 9 | 9 9 1 8 8 3 9 9
[reversing] 8 1 2 0 8 1 8 7 | 7 8 1 8 0 2 1 8
[relations] E5 is parent of E428. E428 is parent of E916. Who is the ancestor 2 of E916? | E5
[reversing] 0 7 2 1 3 4 4 3 9 8 | 8 9 3 4 4 3 1 2 7 0
[addition] 53 + 782 | 835
[addition] 349 + 9 | 358
[reversing] 3 5 6 2 1 1 4 8 0 | 0 8 4 1 1 2 6 5 3
[reversing] 8 3 4 6 9 5 1 9 1 7 | 7 1 9 1 5 9 6 4 3 8
[relations] E122 is parent of E813. E813 is parent of E614. Who is the ancestor 2 of E614? | E122
[relations] E633 is parent of E688. Who is the ancestor 1 of E688? | E633
[reversing] 5 2 9 5 | 5 9 2 5
[relations] E271 is parent of E99. Who is the ancestor 1 of E99? | E271
[copying] UAN | UANUANUANUAN
[addition] 6 + 45 | 51
[sorting] 9 2 0 4 0 2 7 1 4 7 6 6 | 0 0 1 2 2 4 4 6 6 7 7 9
[addition] 60 + 92 | 152
[reversing] 9 6 9 4 6 5 6 | 6 5 6 4 9 6 9
[copying] HKGG | HKGGHKGGHKGG
[addition] 8 + 1 | 9
[addition] 48 + 9 | 57
[sorting] 9 7 6 9 | 6 7 9 9
[reversing] 8 0 3 1 7 4 3 8 | 8 3 4 7 1 3 0 8
[reversing] 1 2 0 2 4 0 | 0 4 2 0 2 1
[reversing] 2 4 6 1 4 4 6 0 5 | 5 0 6 4 4 1 6 4 2
[sorting] 9 3 9 3 | 3 3 9 9
[addition] 30 + 273 | 303
[relations] E847 is parent of E857. Who is the ancestor 1 of E857? | E847
[reversing] 3 2 1 1 0 8 7 6 0 8 3 8 | 8 3 8 0 6 7 8 0 1 1 2 3
[copying] CLF | CLFCLFCLF
[relations] E790 is parent of E864. E864 is parent of E185. Who is the ancestor 2 of E185? | E790
[sorting] 9 8 6 1 5 8 | 1 5 6 8 8 9
[copying] VAAH | VAAHVAAHVAAHVAAH
[relations] E100 is parent of E831. E831 is parent of E309. Who is the ancestor 2 of E309? | E100
[relations] E503 is parent of E197. Who is the ancestor 1 of E197? | E503
[addition] 210 + 17 | 227
[relations] E173 is parent of E112. E112 is parent of E234. Who is the ancestor 2 of E234? | E173
[reversing] 2 9 6 6 8 7 3 | 3 7 8 6 6 9 2
[reversing] 4 6 8 6 4 3 5 3 | 3 5 3 4 6 8 6 4
[copying] HJO | HJOHJO
[copying] EXSPKA | EXSPKAEXSPKAEXSPKAEXSPKA
[relations] E728 is parent of E74. E74 is parent of E731. Who is the ancestor 2 of E731? | E728
[relations] E101 is parent of E120. Who is the ancestor 1 of E120? | E101
[relations] E540 is parent of E763. E763 is parent of E993. Who is the ancestor 2 of E993? | E540
[sorting] 9 7 8 4 3 0 9 8 6 | 0 3 4 6 7 8 8 9 9
[sorting] 1 6 5 1 0 5 3 0 1 | 0 0 1 1 1 3 5 5 6
[relations] E395 is parent of E335. E335 is parent of E908. Who is the ancestor 2 of E908? | E395
[copying] RTGXIO | RTGXIORTGXIO
[addition] 6 + 16 | 22
[copying] YEB | YEBYEBYEBYEB
[sorting] 9 6 6 4 1 4 3 8 | 1 3 4 4 6 6 8 9
[copying] CER | CERCERCERCER
[reversing] 8 2 1 2 8 5 7 0 2 2 0 | 0 2 2 0 7 5 8 2 1 2 8
[reversing] 3 4 1 4 2 4 5 5 | 5 5 4 2 4 1 4 3
[reversing] 5 5 0 | 0 5 5
[addition] 9 + 8 | 17
[sorting] 1 8 5 5 | 1 5 5 8
[sorting] 4 7 6 3 7 9 | 3 4 6 7 7 9
[sorting] 8 0 8 4 3 9 2 | 0 2 3 4 8 8 9
[relations] E417 is parent of E104. E104 is parent of E844. Who is the ancestor 2 of E844? | E417
[addition] 85 + 67 | 152
[sorting] 0 3 0 0 4 6 5 6 8 5 6 | 0 0 0 3 4 5 5 6 6 6 8
[reversing] 0 3 7 2 6 8 | 8 6 2 7 3 0
[relations] E745 is parent of E193. Who is the ancestor 1 of E193? | E745
[reversing] 0 2 3 | 3 2 0
[addition] 45 + 37 | 82
[relations] E630 is parent of E656. E656 is parent of E138. Who is the ancestor 2 of E138? | E630
[relations] E387 is parent of E822. E822 is parent of E521. Who is the ancestor 2 of E521? | E387
[copying] BZFCA | BZFCABZFCABZFCABZFCA
[addition] 954 + 6 | 960
[sorting] 0 1 2 8 7 6 1 3 | 0 1 1 2 3 6 7 8
[sorting] 0 1 3 4 5 | 0 1 3 4 5
[sorting] 5 0 3 5 5 8 4 3 2 2 7 8 | 0 2 2 3 3 4 5 5 5 7 8 8
[relations] E238 is parent of E285. Who is the ancestor 1 of E285? | E238
[copying] NGJV | NGJVNGJVNGJV
[addition] 1 + 51 | 52
[copying] QWTQ | QWTQQWTQ
[reversing] 1 7 6 7 0 9 | 9 0 7 6 7 1
[addition] 953 + 856 | 1809
[relations] E921 is parent of E336. E336 is parent of E763. Who is the ancestor 2 of E763? | E921
[addition] 749 + 1 | 750
[addition] 1 + 1 | 2
[relations] E834 is parent of E320. E320 is parent of E750. Who is the ancestor 2 of E750? | E834
[sorting] 3 8 6 0 | 0 3 6 8
[relations] E115 is parent of E199. E199 is parent of E915. Who is the ancestor 2 of E915? | E115
[sorting] 5 9 5 4 0 9 2 3 6 0 | 0 0 2 3 4 5 5 6 9 9
[reversing] 3 5 7 2 8 0 | 0 8 2 7 5 3
[addition] 614 + 888 | 1502
[copying] SBHFHG | SBHFHGSBHFHGSBHFHG
[reversing] 4 0 8 9 9 6 9 2 7 1 | 1 7 2 9 6 9 9 8 0 4
[sorting] 8 1 2 3 | 1 2 3 8
[addition] 934 + 1 | 935
[reversing] 0 5 8 9 7 9 8 6 4 8 8 | 8 8 4 6 8 9 7 9 8 5 0
[addition] 128 + 30 | 158
[copying] INDJ | INDJINDJ
[relations] E720 is parent of E888. E888 is parent of E304. Who is the ancestor 2 of E304? | E720
[reversing] 0 0 0 0 6 3 6 5 | 5 6 3 6 0 0 0 0
[reversing] 0 7 4 | 4 7 0
[copying] BBIIKO | BBIIKOBBIIKOBBIIKO
[sorting] 7 9 5 1 9 1 2 7 6 9 0 2 | 0 1 1 2 2 5 6 7 7 9 9 9
[sorting] 5 0 8 8 9 2 8 9 | 0 2 5 8 8 8 9 9
[relations] E905 is parent of E459. E459 is parent of E326. Who is the ancestor 2 of E326? | E905
[addition] 53 + 782 | 835
[relations] E969 is parent of E457. E457 is parent of E639. Who is the ancestor 2 of E639? | E969
[sorting] 7 1 5 6 6 4 3 1 | 1 1 3 4 5 6 6 7
[addition] 35 + 0 | 35
[reversing] 7 5 7 0 2 5 9 | 9 5 2 0 7 5 7
[reversing] 0 5 2 5 0 9 1 5 8 3 3 0 | 0 3 3 8 5 1 9 0 5 2 5 0
[relations] E115 is parent of E432. Who is the ancestor 1 of E432? | E115
[relations] E707 is parent of E4. Who is the ancestor 1 of E4? | E707
[addition] 15 + 43 | 58
[addition] 7 + 6 | 13
[reversing] 5 1 5 8 4 4 7 1 6 7 6 4 | 4 6 7 6 1 7 4 4 8 5 1 5
[addition] 5 + 329 | 334
[addition] 7 + 5 | 12
[relations] E744 is parent of E235. E235 is parent of E751. Who is the ancestor 2 of E751? | E744
